,label,x,y
0,1,52.9648,184.1342
1,0,103.18260000000001,46.31270000000001
2,1,31.436999999999998,106.5748
3,4,103.5791,104.5072
4,0,85.6024,46.485299999999995
5,0,108.3241,66.94290000000001
6,7,112.1994,185.1573
7,3,188.1446,113.1563
8,5,162.9365,96.9867
9,3,221.46210000000002,127.632288
10,8,145.8054,159.2401
11,9,80.269,168.1423
12,1,34.733999999999995,120.84581
13,3,191.8005,115.1866
14,3,226.6187,125.3753
15,1,39.8108,141.264
16,2,179.387,173.2563
17,0,87.14070000000001,78.3181
18,7,107.2087,192.5581
19,5,188.2884,91.0016
20,8,166.0343,151.5786
21,6,133.83268,65.7519
22,2,190.8995,176.98340000000002
23,0,83.938,46.2418
24,2,177.77,174.067
25,3,224.5686,120.18517
26,6,159.7098,52.9589
27,9,82.791,177.3785
28,9,94.29769999999999,155.0954
29,7,130.0356,185.9134
30,8,159.4795,163.5234
31,9,115.8741,128.213113
32,4,67.0695,120.30896
33,9,90.5847,151.9774
34,2,147.5889,178.9843
35,1,42.230000000000004,87.685
36,3,186.3125,131.45298
37,1,29.112499999999997,134.72294
38,1,37.4906,159.4007
39,4,77.6943,128.859311
40,9,185.1793,142.4533
41,1,32.320499999999996,110.9776
42,4,86.274,102.60849999999999
43,4,115.4386,169.8254
44,2,154.3628,180.4603
45,6,155.5736,65.7589
46,3,186.5478,135.83317
47,7,123.28757,181.8656
48,7,103.1116,209.3776
49,4,79.19380000000001,121.55484
50,7,120.77022,172.7952
51,5,188.7911,91.425
52,1,46.754999999999995,119.54061
53,9,128.653028,130.62603000000001
54,0,94.1105,56.4559
55,2,150.64260000000002,183.6092
56,2,157.6187,182.4259
57,3,199.0187,124.67487
58,9,80.60990000000001,167.5918
59,1,34.38549999999999,138.6098
60,1,57.6345,86.8629
61,1,61.993300000000005,190.89589999999998
62,5,144.9642,110.9433
63,0,73.936,71.8409
64,6,143.5206,41.511700000000005
65,3,194.1948,138.7159
66,4,87.37530000000001,108.3844
67,8,155.523,117.2936
68,1,38.2542,155.3479
